Date;Official Bank Rate;
13/01/2000;5,75;
10/02/2000;6;
08/02/2001;5,75;
05/04/2001;5,5;
10/05/2001;5,25;
02/08/2001;5;
18/09/2001;4,75;
04/10/2001;4,5;
08/11/2001;4;
06/02/2003;3,75;
10/07/2003;3,5;
06/11/2003;3,75;
05/02/2004;4;
06/05/2004;4,25;
10/06/2004;4,5;
05/08/2004;4,75;
04/08/2005;4,5;
03/08/2006;4,75;
09/11/2006;5;
11/01/2007;5,25;
10/05/2007;5,5;
05/07/2007;5,75;
06/12/2007;5,5;
07/02/2008;5,25;
10/04/2008;5;
08/10/2008;4,5;
06/11/2008;3;
04/12/2008;2;
08/01/2009;1,5;
01/02/2009;1;
05/03/2009;0,5;
04/08/2016;0,25;
02/11/2017;0,5;
02/08/2018;0,75;
11/03/2020;0,25;
19/03/2020;0,1;
16/12/2021;0,25;
03/02/2022;0,5;
17/03/2022;0,75;
05/05/2022;1;
16/06/2022;1,25;
04/08/2022;1,75;
22/09/2022;2,25;
03/11/2022;3;
15/12/2022;3,5;
02/02/2023;4;
23/03/2023;4,25;
11/05/2023;4,5;
22/06/2023;5;
03/08/2023;5,25;
